SAMPLING EVENT IDENTIFIER,nearest_station,y_copeton,pm10_ugm3,pm25_ugm3,so2_ugm3,co_ppm,no2_ppb,o3_ppb,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,PROTOCOL NAME,month,OBSERVATION DATE,TIME OBSERVATIONS STARTED,distance_km
S85559387,Usme,1,61.42429,15.04078,0.001695034,0.446911,0.02265223,,95.0,0.31,10.0,Traveling,1,2021-01-16,07:15:00,13.447659006398704
S79903330,MinAmbiente,1,4.677989,27.0,,,,,230.0,0.105,2.0,Traveling,1,2021-01-25,09:25:00,12.20059278950444
S79902547,MinAmbiente,1,4.677989,27.0,,,,,230.0,0.105,2.0,Traveling,1,2021-01-25,09:25:00,12.20059278950444
S85561519,Usme,1,61.42429,15.04078,0.001695034,0.446911,0.02265223,,95.0,0.31,10.0,Traveling,1,2021-01-16,07:15:00,13.447659006398704
S80022417,Bolivia,0,77.66698,40.50647,0.002734946,0.5376,0.02867638,,51.0,0.409,2.0,Traveling,1,2021-01-28,08:57:00,2.6738947098168167
S80024941,Bolivia,1,57.92587,30.29237,0.007543941,1.00194,0.02564253,,99.0,0.898,2.0,Traveling,1,2021-01-28,07:16:00,2.6738947098168167
S80022430,Bolivia,1,57.92587,30.29237,0.007543941,1.00194,0.02564253,,99.0,0.898,2.0,Traveling,1,2021-01-28,07:16:00,2.6738947098168167
S80024942,Bolivia,0,77.66698,40.50647,0.002734946,0.5376,0.02867638,,51.0,0.409,2.0,Traveling,1,2021-01-28,08:57:00,2.6738947098168167
S79316173,Bolivia,1,85.11694,36.38958,0.0035374,0.829838,0.02199252,,98.0,1.53,1.0,Traveling,1,2021-01-16,07:06:00,6.758640213736002
S79902607,MinAmbiente,1,12.39491,3.0,,,,,19.0,0.274,2.0,Traveling,1,2021-01-25,14:22:00,10.475467215417826
S79291591,Bolivia,0,73.95078,20.04298,0.000916114,0.299874,0.02246581,,67.0,0.263,1.0,Traveling,1,2021-01-15,15:54:00,6.638146382460501
S79663399,Bolivia,0,73.95078,20.04298,0.000916114,0.299874,0.02246581,,67.0,0.263,1.0,Traveling,1,2021-01-15,15:54:00,6.638146382460501
S79934466,Bolivia,1,28.11475,14.91241,0.00080435,0.213165,0.01573182,,44.0,0.159,1.0,Traveling,1,2021-01-26,11:49:00,6.608204972224825
S79994920,Bolivia,1,47.01104,6.39913,0.001463333,0.464433,0.02782155,,87.0,0.642,2.0,Traveling,1,2021-01-27,16:54:00,6.63707802182882
